Treat,ID,Indi,Coll. Date,DOY,Wing Wear,Collect Wt,Wt1 Date,Wt1,Wt2  Date,Wt2,Wt3 Date,Wt3,Wt4  Date,Wt4,Wt5 Date,Wt5,Wt6 Date,Wt6,Dth Date,Death Wt,Notes,Days in Trial,Total Fecundity,Daily Egg Avg,Eggs Day 1,Eggs Day 2,Eggs Day 3,Eggs Day 4,Eggs Day 5,Eggs Day 6,Eggs Day 7,Eggs Day 8,Eggs Day 9,Eggs Day 10,Eggs Day 11,Eggs Day 12,Eggs Day 13,Eggs Day 14,Eggs Day 15,Eggs Day 16,Eggs Day 17,Eggs Day 18,Eggs Day 19,Eggs Day 20,Eggs Day 21,Eggs Day 22,Eggs Day 23,Eggs Day 24,Eggs Day 25,Eggs Day 26,,
A,1,A1,29-May,150,0,8.088,2-Jun,7.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43621,6.253,death at 9 am,7,257,36.71428571,10,31,50,61,44,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0
A,2,A2,31-May,152,0,8.479,4-Jun,6.371,7-Jun,6.453,10-Jun,5.531,13-Jun,5.461,6/16/2019,4.889,NA,NA,43633,4.474,1 pm death,17,600,35.29411765,113,35,57,48,16,55,45,22,52,41,52,33,27,0,2,0,2,0,0,0,0,0,0,0,0,0,600,0
A,3,A3,31-May,152,1,5.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43621,5.399,death at 9 am,4,65,16.25,35,10,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
A,4,A4,1-Jun,153,0,4.804,4-Jun,3.726,7-Jun,3.936,10-Jun,4.356,13-Jun,4.566,6/16/2019,3.416,NA,NA,43635,3.567,,18,231,12.83333333,23,25,44,4,8,14,8,17,4,7,23,10,15,11,10,0,8,0,0,0,0,0,0,0,0,0,231,0
A,5,A5,1-Jun,153,1,2.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43618,2.499,Drop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,6,A6,2-Jun,154,1,6.169,5-Jun,4.47,8-Jun,4.302,11-Jun,5.019,43630,4.028,NA,NA,NA,NA,43632,5.446,5 PM DEATH,14,378,27,43,64,22,57,26,39,15,23,19,20,19,19,11,1,0,0,0,0,0,0,0,0,0,0,0,0,378,0
A,7,A7,2-Jun,154,1,4.252,5-Jun,3.835,8-Jun,4.175,43627,6.743,NA,NA,NA,NA,NA,NA,43628,4.508,10 am death ,10,191,19.1,40,36,9,30,6,52,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0
A,8,A8,3-Jun,155,0,5.572,5-Jun,5.12,8-Jun,5.008,43627,4.174,43630,4.306,NA,NA,NA,NA,43632,3.706,found being mated 5 PM DEATH,13,286,22,3,2,4,9,39,41,39,41,38,36,16,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0
A,9,A9,3-Jun,155,0,7.562,5-Jun,5.935,8-Jun,5.999,NA,NA,NA,NA,NA,NA,NA,NA,43626,3.324,"9 AM death, appeared to have abdomenal malformation, slight skew to the body which was a cyst in the body preventing the laying of eggs from the right side",6,94,15.66666667,33,15,26,5,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
A,10,A10,9-Jun,161,1,4.677,12-Jun,4.256,43631,4.556,NA,NA,NA,NA,NA,NA,NA,NA,43634,3.762,drop?,8,69,8.625,0,33,3,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
A,11,A11,9-Jun,161,0,4.76,12-Jun,4.806,43631,4.555,43634,4.349,NA,NA,NA,NA,NA,NA,43637,4.125,1 PM DEATH,12,60,5,2,3,0,20,0,1,18,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
A,12,A12,9-Jun,161,0,5.844,12-Jun,4.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43631,4.262,10 am death,5,109,21.8,1,0,95,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
R,1,R1,31-May,152,1,3.75,4-Jun,2.957,7-Jun,3.261,NA,NA,NA,NA,NA,NA,NA,NA,43625,1.709,5 PM DEATH,9,95,10.55555556,41,13,10,10,5,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
R,2,R2,31-May,152,0,4.95,4-Jun,3.372,7-Jun,3.37,NA,NA,NA,NA,NA,NA,NA,NA,43626,2.97,5 pm death,10,310,31,75,11,20,70,26,29,29,26,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0
R,3,R3,31-May,152,0,6.458,4-Jun,5.855,7-Jun,5.454,43626,4.918,NA,NA,NA,NA,NA,NA,43627,4.514,Has ripped most of her wings off,11,201,18.27272727,5,13,5,9,20,50,31,36,18,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0
R,4,R4,1-Jun,153,1,4.957,4-Jun,3.451,7-Jun,4.155,NA,NA,NA,NA,NA,NA,NA,NA,43626,3.158,12 pm death,9,256,28.44444444,64,13,49,19,26,24,24,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0
R,5,R5,2-Jun,154,1,6.159,43621,5.713,43624,4.574,43627,4.161,43630,4.089,43633,4.14,NA,NA,43634,3.576,lost two legs 6/2,16,446,27.875,55,47,0,50,46,24,39,30,33,18,25,16,21,14,6,15,2,1,4,0,0,0,0,0,0,0,446,0
R,6,R6,2-Jun,154,0,6.378,43621,6.174,43624,5.048,43627,3.918,43630,3.506,NA,NA,NA,NA,43632,2.105,5 PM DEATH,14,528,37.71428571,36,84,6,23,64,32,72,41,55,42,13,37,20,3,0,0,0,0,0,0,0,0,0,0,0,0,528,0
R,7,R7,2-Jun,154,0,4.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43621,3.05,11 am death,3,47,15.66666667,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
R,8,R8,3-Jun,155,1,4.781,5-Jun,4.43,8-Jun,4.623,NA,NA,NA,NA,NA,NA,NA,NA,43626,3.307,12 pm death,7,27,3.857142857,0,1,0,1,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
R,9,R9,9-Jun,161,0,6.987,43628,6.362,43631,3.894,43634,4.806,43637,4.954,NA,NA,NA,NA,43640,4.299,10 am death,15,443,29.53333333,51,95,25,97,40,44,7,6,27,6,19,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,443,0
R,10,R10,9-Jun,161,0,5.406,43628,4.591,43631,3.172,43634,3.187,43637,3.014,43640,2.701,27-Jun,2.398,43651,1.868,,26,452,17.38461538,31,51,35,64,39,34,16,16,23,23,12,13,13,10,15,8,14,0,11,5,8,1,4,2,4,0,452,0
W,1,W1,31-May,152,0,5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43620,3.4,5 pm death,4,134,33.5,49,40,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0
W,2,W2,31-May,152,1,4.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43620,2.765,9 AM DEATH,3,46,15.33333333,29,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
W,3,W3,1-Jun,153,0,5.811,43620,3.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43621,3.146,5 pm death,4,111,27.75,2,52,30,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0
W,4,W4,1-Jun,153,1,4.721,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,43620,3.322,1 pm death,3,32,10.66666667,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
W,5,W5,1-Jun,153,0,5.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43620,4.475,1 PM DEATH,3,63,21,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
W,6,W6,2-Jun,154,0,7.26,5-Jun,6.408,43624,5.153,NA,NA,NA,NA,NA,NA,NA,NA,43626,3.909,5 pm death,8,85,10.625,25,34,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
W,7,W7,3-Jun,155,0,6.654,5-Jun,5.4,43624,4.393,NA,NA,NA,NA,NA,NA,NA,NA,43625,3.698,10 am death,6,115,19.16666667,4,49,1,32,21,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0
W,8,W8,3-Jun,155,0,5.947,5-Jun,5.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43623,5.208,5 PM DEATH,4,4,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
W,9,W9,43625,160,0,5.359,43628,4.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43629,4.121,has 2 legs,4,25,6.25,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
W,10,W10,43625,160,1,6.088,43628,4.75,43631,3.621,NA,NA,NA,NA,NA,NA,NA,NA,43632,2.985,5 PM DEATH,7,61,8.714285714,2,8,4,15,7,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
