Treat,ID,Indi,Coll. Date,Wing Wear,Collect Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Date,Wt,Dth Date,Death Wt,Notes,Days in Trial,Total Fecundity,Daily Egg Avg,Eggs Day 1,Eggs Day 2,Eggs Day 3,Eggs Day 4,Eggs Day 5,Eggs Day 6,Eggs Day 7,Eggs Day 8,Eggs Day 9,Eggs Day 10,Eggs Day 11,Eggs Day 12,Eggs Day 13,Eggs Day 14,Eggs Day 15,Eggs Day 16,Eggs Day 17,Eggs Day 18,Eggs Day 19,Eggs Day 20,Eggs Day 21,Eggs Day 22,Eggs Day 23,Eggs Day 24,Eggs Day 25,Eggs Day 26,Eggs Day 27,Eggs Day 28
W,1,W01,15-Jul,0,5.368,18-Jul,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-Jul,3,"Found Being mated, BM",4,79,19.75,45,26,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,2,W02,25-Jul,0,4.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Jul,3.443,HM,3,32,10.66666667,14,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,3,W03,25-Jul,0,4.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Jul,3.689,HM,3,19,6.333333333,9,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,4,W04,29-Jul,1,3.138,1-Aug,2.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Aug,2.824,TL,5,1,0.2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,5,W05,30-Jul,0,3.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Aug,2.744,HM,3,9,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,6,W06,30-Jul,1,2.833,2-Aug,2.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Aug,2.633,HM,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,7,W07,3-Aug,2,3.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Aug,2.682,HM,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W,8,W08,4-Aug,1,4.655,7-Aug,4.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9-Aug,3.091,HM,5,126,25.2,30,17,60,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,1,L01,15-Jul,0,5.64,18-Jul,4.52,22-Jul,4.185,27-Jul,3.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-Jul,1.862,BM,16,478,29.875,64,37,36,30,40,22,17,48,16,37,35,43,10,27,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,2,L02,25-Jul,2,3.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Jul,3.1,Dropped due to injury,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,3,L03,28-Jul,2,2.426,31-Jul,2.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Aug,1.028,BM,6,7,1.166666667,1,0,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,4,L04,29-Jul,1,2.865,1-Aug,2.853,4-Aug,3.264,7-Aug,2.751,10-Aug,2.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Aug,2.188,TL,15,68,4.533333333,0,0,0,0,0,7,3,1,7,3,22,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,5,L05,30-Jul,1,2.42,2-Aug,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Aug,1.8849,HM,4,30,7.5,2,24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,6,L06,30-Jul,0,3.468,2-Aug,3.274,5-Aug,2.817,8-Aug,1.903,11-Aug,1.879,14-Aug,2.125,17-Aug,1.95,NA,NA,NA,NA,NA,NA,20-Aug,1.206,HM,21,297,14.14285714,36,22,22,16,44,13,9,12,14,13,13,16,2,8,24,7,4,3,7,1,0,NA,NA,NA,NA,NA,NA,NA
L,7,L07,3-Aug,1,2.794,6-Aug,2.092,9-Aug,1.942,12-Aug,1.862,15-Aug,1.767,18-Aug,1.754,NA,NA,NA,NA,NA,NA,NA,NA,20-Aug,1.206,HM,17,65,3.823529412,3,18,1,9,5,1,5,6,3,1,2,1,1,0,1,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,8,L08,3-Aug,0,3.693,6-Aug,3.175,DROP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9-Aug,3.35,"HM lost half of her legs on 8/4, drop",6,3,0.5,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,9,L09,4-Aug,1,2.175,7-Aug,1.936,10-Aug,1.919,13-Aug,1.556,16-Aug,1.212,19-Aug,1.396,NA,NA,NA,NA,NA,NA,NA,NA,21-Aug,0.97,HM,17,65,3.823529412,5,3,9,5,9,9,5,0,6,2,4,1,3,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,10,L10,10-Aug,1,2.622,13-Aug,2.309,16-Aug,1.948,19-Aug,2.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-Aug,1.418,HM,11,80,7.272727273,4,21,22,10,3,3,4,10,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,1,F01,23-Jul,1,3.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Jul,1.47,BM,3,32,10.66666667,11,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,2,F02,25-Jul,0,4.362,28-Jul,3.888,31-Jul,3.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-Jul,2.99,HM,6,59,9.833333333,12,24,20,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,3,F03,28-Jul,1,2.061,31-Jul,1.614,3-Aug,1.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Aug,1.14,BM,7,37,5.285714286,13,8,5,1,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,4,F04,30-Jul,0,4.887,2-Aug,4.607,5-Aug,4.044,8-Aug,3.546,11-Aug,3.428,14-Aug,3.165,17-Aug,2.925,NA,NA,NA,NA,NA,NA,21-Aug,3.371,HM,22,112,5.090909091,11,3,10,12,25,15,13,6,6,6,2,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
F,5,F05,30-Jul,0,4.608,2-Aug,4.477,5-Aug,4.081,8-Aug,3.437,11-Aug,3.062,14-Aug,2.651,NA,NA,NA,NA,NA,NA,NA,NA,15-Aug,2.097,HM,16,116,7.25,0,10,6,2,15,28,7,16,5,2,2,4,5,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,6,F06,3-Aug,1,3.774,6-Aug,3.185,9-Aug,2.602,12-Aug,2.334,15-Aug,1.953,18-Aug,2.047,21-Aug,2.094,24-Aug,1.883,27-Aug,2.526,NA,NA,29-Aug,1.528,HM,26,259,9.961538462,35,37,21,13,33,20,10,15,7,11,10,10,1,10,1,2,3,1,5,5,1,5,1,0,0,0,NA,NA
F,7,F07,3-Aug,0,4.185,6-Aug,4.226,9-Aug,3.892,12-Aug,2.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Aug,2.122,HM,12,158,13.16666667,6,0,14,11,7,30,40,16,11,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F,8,F08,4-Aug,2,2.418,7-Aug,1.982,10-Aug,1.824,13-Aug,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Aug,1.144,HM,11,30,2.727272727,2,0,4,4,7,2,6,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,1,B01,23-Jul,0,3.793,28-Jul,3.011,31-Jul,2.932,3-Aug,2.592,6-Aug,2.219,9-Aug,1.916,12-Aug,3.367,15-Aug,2.605,18-Aug,2.912,NA,NA,19-Aug,2.308,BM,27,196,7.259259259,10,36,9,7,4,10,10,7,5,3,7,5,4,7,1,5,6,10,2,1,2,0,0,0,1,0,0,NA
B,2,B02,25-Jul,0,5.142,28-Jul,4.41,31-Jul,3.601,3-Aug,3.601,6-Aug,3.241,9-Aug,2.741,12-Aug,2.724,NA,NA,NA,NA,NA,NA,15-Aug,1.564,HM,21,468,22.28571429,11,72,60,26,34,8,27,43,44,30,23,11,18,9,13,13,11,1,6,3,0,NA,NA,NA,NA,NA,NA,NA
B,3,B03,28-Jul,0,4.43,31-Jul,4.153,3-Aug,3.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Aug,3.22,BM,8,137,17.125,48,16,9,26,20,11,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,4,B04,29-Jul,1,4.349,1-Aug,4.28,4-Aug,4.791,7-Aug,4.34,10-Aug,5.062,13-Aug,4.387,16-Aug,5.006,19-Aug,3.894,22-Aug,4.825,25-Aug,5.018,26-Aug,4.503,TL,28,81,2.892857143,3,4,5,1,12,3,13,15,9,3,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B,5,B05,30-Jul,2,3.735,2-Aug,3.281,5-Aug,2.848,8-Aug,1.857,11-Aug,2.235,14-Aug,2.489,17-Aug,1.872,NA,NA,NA,NA,NA,NA,20-Aug,2.543,HM,21,205,9.761904762,24,26,23,29,17,8,9,13,6,1,10,3,1,2,6,4,6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
B,6,B06,30-Jul,1,2.751,2-Aug,2.493,5-Aug,2.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Aug,2.045,HM,9,38,4.222222222,0,0,0,0,4,1,21,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,7,B07,3-Aug,2,2.88,6-Aug,2.553,9-Aug,2.25,12-Aug,1.694,15-Aug,1.74,18-Aug,2.107,21-Aug,2.049,24-Aug,2.461,27-Aug,1.731,30-Aug,1.831,30-Aug,1.506,"HM, DIED IN THE EVENING",27,147,5.444444444,3,1,19,27,21,17,11,10,3,4,4,7,0,4,4,0,2,2,5,1,1,0,1,0,0,0,0,NA
B,8,B08,4-Aug,1,2.934,7-Aug,2.356,10-Aug,2.644,13-Aug,1.873,16-Aug,1.631,19-Aug,1.765,NA,NA,NA,NA,NA,NA,NA,NA,21-Aug,1.141,HM,17,138,8.117647059,36,8,20,12,14,6,6,8,2,5,8,0,0,1,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
